frame_index,face_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1356,1125,171,43,253,151
1356,1126,102,184,147,235
1358,1127,176,47,251,147
1360,1128,174,43,254,149
1362,1129,174,44,255,149
1364,1130,177,45,256,149
1366,1131,180,47,254,144
1368,1132,182,49,256,146
1370,1133,183,49,260,150
1372,1134,183,51,265,156
1374,1135,187,47,264,150
1376,1136,187,55,263,150
1378,1137,186,59,262,155
1380,1138,187,58,262,151
1382,1139,185,59,264,161
1384,1140,185,59,263,158
1386,1141,184,57,262,161
1388,1142,186,58,267,163
1390,1143,189,63,268,162
1392,1144,190,62,271,162
1394,1145,190,58,269,159
1396,1146,192,63,271,160
1398,1147,193,59,271,159
1400,1148,512,192,563,262
1400,1149,92,202,144,268
1400,1150,325,48,372,107
1402,1151,512,192,563,262
1402,1152,94,204,144,268
1402,1153,313,49,361,108
1404,1154,512,193,565,266
1404,1155,94,204,145,268
1404,1156,301,60,351,121
1406,1157,511,193,563,262
1406,1158,95,205,146,269
1406,1159,296,79,343,134
1408,1160,514,192,565,262
1408,1161,97,211,149,273
1408,1162,290,87,339,142
1410,1163,513,193,566,263
1410,1164,102,228,153,291
1410,1165,287,88,334,141
1412,1166,513,193,566,263
1412,1167,107,234,158,296
1412,1168,283,87,331,140
1414,1169,513,194,567,263
1414,1170,111,234,163,297
1414,1171,280,85,328,139
1416,1172,164,50,238,154
1418,1173,165,50,238,150
1420,1174,167,49,240,148
1422,1175,169,47,243,147
1424,1176,170,45,246,147
1424,1177,31,293,86,355
1426,1178,175,47,248,145
1428,1179,179,46,252,145
1430,1180,178,47,257,151
1432,1181,188,49,262,148
1434,1182,192,49,265,147
1436,1183,360,285,425,384
1436,1184,138,188,185,256
1436,1185,341,54,384,111
1436,1186,530,183,568,241
1438,1187,360,286,418,374
1438,1188,138,189,184,256
1438,1189,528,179,566,243
1438,1190,351,55,393,112
1438,1191,332,67,348,88
1440,1192,355,282,412,376
1440,1193,136,189,180,252
1440,1194,356,56,398,112
1440,1195,524,183,560,241
1442,1196,348,283,397,356
1442,1197,130,187,176,252
1442,1198,519,174,557,242
1442,1199,355,54,399,111
1444,1200,335,281,396,376
1444,1201,125,185,173,251
1444,1202,508,175,550,240
1444,1203,353,54,397,111
1446,1204,335,283,385,368
1446,1205,124,187,167,249
1446,1206,342,51,388,109
1446,1207,502,171,542,236
1448,1208,330,281,378,365
1448,1209,327,41,377,102
1448,1210,500,170,538,237
1448,1211,132,195,163,233
1450,1212,321,285,381,389
1450,1213,322,37,369,96
1450,1214,493,170,535,236
1450,1215,121,189,163,252
1452,1216,328,279,373,355
1452,1217,494,166,538,236
1452,1218,323,37,370,95
1452,1219,122,189,164,250
